OBJECTID,Identifier,OccurrenceDate,DayofWeek,OccurrenceMonth,,OccurrenceDay,OccurrenceYear,OccurrenceHour,CompStatMonth,,CompStatDay,CompStatYear,Start Date,End Date,Date gap,Offense,OffenseClassification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Latitude,Longitude
493,2.02E+14,1/1/2015 0:00,Thursday,Jan,1,1,2015,0,Jul,7,18,2015,1/1/2015,7/18/2015,198,RAPE,FELONY,I,60,Brooklyn,NYPD-HOUSING BUREAU,990922,149184,40.5761573,-73.9759838
494,2.02E+14,1/1/2015 0:00,Thursday,Jan,1,1,2015,0,May,5,23,2015,1/1/2015,5/23/2015,142,RAPE,FELONY,G,111,Queens,NYPD,1048565,216315,40.76018548,-73.76784259
495,2.02E+14,1/1/2015 0:01,Thursday,Jan,1,1,2015,0,Jul,7,16,2015,1/1/2015,7/16/2015,196,RAPE,FELONY,H,120,Staten Island,NYPD,962748,174174,40.64472613,-74.07748316
496,2.02E+14,1/1/2015 0:01,Thursday,Jan,1,1,2015,0,Aug,8,26,2015,1/1/2015,8/26/2015,237,RAPE,FELONY,B,25,Manhattan,NYPD,1000555,230994,40.80069433,-73.94110929
497,2.02E+14,1/1/2015 0:01,Thursday,Jan,1,1,2015,0,Sep,9,18,2015,1/1/2015,9/18/2015,260,RAPE,FELONY,G,60,Brooklyn,NYPD,990922,149184,40.5761573,-73.9759838
498,2.02E+14,1/1/2015 0:01,Thursday,Jan,1,1,2015,0,Feb,2,7,2015,1/1/2015,2/7/2015,37,RAPE,FELONY,D,47,Bronx,NYPD,1026387,262634,40.88745131,-73.84760779
499,2.02E+14,1/1/2015 0:01,Thursday,Jan,1,1,2015,0,Mar,3,9,2015,1/1/2015,3/9/2015,67,RAPE,FELONY,F,60,Brooklyn,NYPD,990922,149184,40.5761573,-73.9759838
500,2.02E+14,1/1/2015 0:01,Thursday,Jan,1,1,2015,0,Jan,1,14,2015,1/1/2015,1/14/2015,13,RAPE,FELONY,A,115,Queens,NYPD,1018699,215043,40.75686098,-73.87565666
501,2.02E+14,1/1/2015 0:01,Thursday,Jan,1,1,2015,0,Apr,4,9,2015,1/1/2015,4/9/2015,98,RAPE,FELONY,C,79,Brooklyn,NYPD,999634,190253,40.68887215,-73.94452903
502,2.02E+14,1/1/2015 0:01,Thursday,Jan,1,1,2015,0,May,5,23,2015,1/1/2015,5/23/2015,142,RAPE,FELONY,I,77,Brooklyn,NYPD,1003606,185050,40.67458331,-73.93022154
503,2.02E+14,1/1/2015 0:01,Thursday,Jan,1,1,2015,0,Jun,6,24,2015,1/1/2015,6/24/2015,174,RAPE,FELONY,B,108,Queens,NYPD,996793,210001,40.74308017,-73.95473646
504,2.02E+14,1/1/2015 0:05,Thursday,Jan,1,1,2015,0,Jul,7,30,2015,1/1/2015,7/30/2015,210,RAPE,FELONY,B,67,Brooklyn,NYPD,998032,175598,40.64865009,-73.95033556
505,2.02E+14,1/1/2015 1:30,Thursday,Jan,1,1,2015,100,Jan,1,1,2015,1/1/2015,1/1/2015,0,RAPE,FELONY,J,52,Bronx,NYPD,1017542,255919,40.86905853,-73.87963015
506,2.02E+14,1/1/2015 1:30,Thursday,Jan,1,1,2015,100,Jan,1,1,2015,1/1/2015,1/1/2015,0,RAPE,FELONY,D,83,Brooklyn,NYPD,1006965,193571,40.69796352,-73.91808336
507,2.02E+14,1/1/2015 4:00,Thursday,Jan,1,1,2015,400,Feb,2,18,2015,1/1/2015,2/18/2015,48,RAPE,FELONY,I,79,Brooklyn,NYPD,999634,190253,40.68887215,-73.94452903
508,2.02E+14,1/1/2015 5:00,Thursday,Jan,1,1,2015,500,Jan,1,1,2015,1/1/2015,1/1/2015,0,RAPE,FELONY,B,100,Queens,NYPD,1035212,152992,40.58646553,-73.81652172
509,2.02E+14,1/1/2015 8:00,Thursday,Jan,1,1,2015,800,Aug,8,3,2015,1/1/2015,8/3/2015,214,RAPE,FELONY,H,103,Queens,NYPD,1041749,196938,40.70704748,-73.7926119
510,2.02E+14,1/1/2015 8:10,Thursday,Jan,1,1,2015,800,Jan,1,1,2015,1/1/2015,1/1/2015,0,RAPE,FELONY,,110,Queens,NYPD,1020255,210816,40.74525274,-73.87006287
511,2.02E+14,1/1/2015 8:16,Thursday,Jan,1,1,2015,800,Jan,1,1,2015,1/1/2015,1/1/2015,0,RAPE,FELONY,J,88,Brooklyn,NYPD-HOUSING BUREAU,995188,190691,40.69008097,-73.96055993
512,2.02E+14,1/1/2015 19:00,Thursday,Jan,1,1,2015,1900,Jan,1,1,2015,1/1/2015,1/1/2015,0,RAPE,FELONY,H,110,Queens,NYPD,1020255,210816,40.74525274,-73.87006287
513,2.02E+14,1/2/2015 0:01,Friday,Jan,1,2,2015,0,Jan,1,13,2015,1/2/2015,1/13/2015,11,RAPE,FELONY,U,44,Bronx,NYPD,1006434,244344,40.83732351,-73.91983076
514,2.02E+14,1/2/2015 10:00,Friday,Jan,1,2,2015,1000,Feb,2,10,2015,1/2/2015,2/10/2015,39,RAPE,FELONY,B,104,Queens,NYPD,1013764,195875,40.70426739,-73.89355376
515,2.02E+14,1/2/2015 18:25,Friday,Jan,1,2,2015,1800,Jan,1,2,2015,1/2/2015,1/2/2015,0,RAPE,FELONY,I,73,Brooklyn,NYPD-HOUSING BUREAU,1008276,183623,40.67065507,-73.91339092
516,2.02E+14,1/3/2015 4:00,Saturday,Jan,1,3,2015,400,Jan,1,3,2015,1/3/2015,1/3/2015,0,RAPE,FELONY,D,5,Manhattan,NYPD,984946,200203,40.71619591,-73.99749075
517,2.02E+14,1/3/2015 5:30,Saturday,Jan,1,3,2015,500,Jan,1,3,2015,1/3/2015,1/3/2015,0,RAPE,FELONY,J,43,Bronx,NYPD,1020316,239179,40.8231013,-73.86969046
518,2.02E+14,1/3/2015 14:00,Saturday,Jan,1,3,2015,1400,Mar,3,9,2015,1/3/2015,3/9/2015,65,RAPE,FELONY,K,113,Queens,NYPD,1046367,186986,40.67970041,-73.77604737
519,2.02E+14,1/5/2015 2:00,Monday,Jan,1,5,2015,200,Jan,1,6,2015,1/5/2015,1/6/2015,1,RAPE,FELONY,B,47,Bronx,NYPD,1026387,262634,40.88745131,-73.84760779
520,2.02E+14,1/6/2015 0:05,Tuesday,Jan,1,6,2015,0,Jan,1,7,2015,1/6/2015,1/7/2015,1,RAPE,FELONY,D,79,Brooklyn,NYPD,999634,190253,40.68887215,-73.94452903
521,2.02E+14,1/6/2015 9:30,Tuesday,Jan,1,6,2015,900,Jan,1,7,2015,1/6/2015,1/7/2015,1,RAPE,FELONY,I,70,Brooklyn,NYPD,991547,168934,40.63036655,-73.97371261
522,2.02E+14,1/6/2015 13:00,Tuesday,Jan,1,6,2015,1300,Feb,2,11,2015,1/6/2015,2/11/2015,36,RAPE,FELONY,I,90,Brooklyn,NYPD,997843,196573,40.70622201,-73.95097436
523,2.02E+14,1/6/2015 17:00,Tuesday,Jan,1,6,2015,1700,Jan,1,6,2015,1/6/2015,1/6/2015,0,RAPE,FELONY,G,30,Manhattan,NYPD,999794,241252,40.82885105,-73.94383419
524,2.02E+14,1/7/2015 0:01,Wednesday,Jan,1,7,2015,0,Jun,6,2,2015,1/7/2015,6/2/2015,146,RAPE,FELONY,E,43,Bronx,NYPD,1020316,239179,40.8231013,-73.86969046
525,2.02E+14,1/8/2015 16:00,Thursday,Jan,1,8,2015,1600,Jan,1,9,2015,1/8/2015,1/9/2015,1,RAPE,FELONY,H,40,Bronx,NYPD,1004926,234532,40.81039602,-73.92531074
526,2.02E+14,1/8/2015 19:30,Thursday,Jan,1,8,2015,1900,Jan,1,9,2015,1/8/2015,1/9/2015,1,RAPE,FELONY,N,32,Manhattan,NYPD,999358,236472,40.81573205,-73.94542041
527,2.02E+14,1/9/2015 0:00,Friday,Jan,1,9,2015,0,Feb,2,9,2015,1/9/2015,2/9/2015,31,RAPE,FELONY,C,115,Queens,NYPD,1018699,215043,40.75686098,-73.87565666
528,2.02E+14,1/9/2015 1:00,Friday,Jan,1,9,2015,100,Jan,1,11,2015,1/9/2015,1/11/2015,2,RAPE,FELONY,A,84,Brooklyn,NYPD,989013,192652,40.69546894,-73.98282508
529,2.02E+14,1/9/2015 3:00,Friday,Jan,1,9,2015,300,Jan,1,11,2015,1/9/2015,1/11/2015,2,RAPE,FELONY,J,66,Brooklyn,NYPD,986633,167258,40.62576896,-73.99141682
530,2.02E+14,1/9/2015 22:00,Friday,Jan,1,9,2015,2200,Jan,1,10,2015,1/9/2015,1/10/2015,1,RAPE,FELONY,C,30,Manhattan,NYPD,999794,241252,40.82885105,-73.94383419
531,2.02E+14,1/9/2015 23:30,Friday,Jan,1,9,2015,2300,Jan,1,12,2015,1/9/2015,1/12/2015,3,RAPE,FELONY,I,115,Queens,NYPD,1018699,215043,40.75686098,-73.87565666
532,2.02E+14,1/10/2015 0:20,Saturday,Jan,1,10,2015,0,Jan,1,10,2015,1/10/2015,1/10/2015,0,RAPE,FELONY,G,77,Brooklyn,NYPD,1003606,185050,40.67458331,-73.93022154
533,2.02E+14,1/10/2015 1:35,Saturday,Jan,1,10,2015,100,Jan,1,10,2015,1/10/2015,1/10/2015,0,RAPE,FELONY,D,40,Bronx,NYPD,1004926,234532,40.81039602,-73.92531074
534,2.02E+14,1/10/2015 2:00,Saturday,Jan,1,10,2015,200,Jan,1,10,2015,1/10/2015,1/10/2015,0,RAPE,FELONY,B,113,Queens,NYPD,1046367,186986,40.67970041,-73.77604737
535,2.02E+14,1/10/2015 10:00,Saturday,Jan,1,10,2015,1000,Jan,1,10,2015,1/10/2015,1/10/2015,0,RAPE,FELONY,P,44,Bronx,NYPD,1006434,244344,40.83732351,-73.91983076
536,2.02E+14,1/11/2015 0:00,Sunday,Jan,1,11,2015,1100,Feb,2,28,2015,1/11/2015,2/28/2015,48,RAPE,FELONY,A,33,Manhattan,NYPD,1001936,245282,40.8399082,-73.93608359
537,2.02E+14,1/11/2015 3:00,Sunday,Jan,1,11,2015,300,Jan,1,12,2015,1/11/2015,1/12/2015,1,RAPE,FELONY,I,77,Brooklyn,NYPD,1003606,185050,40.67458331,-73.93022154
538,2.02E+14,1/11/2015 6:00,Sunday,Jan,1,11,2015,600,Jan,1,11,2015,1/11/2015,1/11/2015,0,RAPE,FELONY,A,100,Queens,NYPD,1035212,152992,40.58646553,-73.81652172
539,2.02E+14,1/11/2015 15:30,Sunday,Jan,1,11,2015,1500,Feb,2,27,2015,1/11/2015,2/27/2015,47,RAPE,FELONY,G,110,Queens,NYPD,1020255,210816,40.74525274,-73.87006287
540,2.02E+14,1/12/2015 0:00,Monday,Jan,1,12,2015,0,Jan,1,31,2015,1/12/2015,1/31/2015,19,RAPE,FELONY,D,41,Bronx,NYPD,1013232,236725,40.81639185,-73.89529641
541,2.02E+14,1/12/2015 0:00,Monday,Jan,1,12,2015,0,Feb,2,28,2015,1/12/2015,2/28/2015,47,RAPE,FELONY,B,47,Bronx,NYPD,1026387,262634,40.88745131,-73.84760779
542,2.02E+14,1/14/2015 2:30,Wednesday,Jan,1,14,2015,200,Jan,1,14,2015,1/14/2015,1/14/2015,0,RAPE,FELONY,C,5,Manhattan,NYPD,984946,200203,40.71619591,-73.99749075
543,2.02E+14,1/14/2015 19:00,Wednesday,Jan,1,14,2015,1900,Jan,1,14,2015,1/14/2015,1/14/2015,0,RAPE,FELONY,I,115,Queens,NYPD,1018699,215043,40.75686098,-73.87565666
544,2.02E+14,1/14/2015 20:30,Wednesday,Jan,1,14,2015,2000,Jan,1,16,2015,1/14/2015,1/16/2015,2,RAPE,FELONY,E,42,Bronx,NYPD,1008798,238971,40.82256992,-73.91130717
